EXCH,SEGMENT,SECURITY_ID,INSTRUMENT_NAME,EXPIRY_CODE,TRADING_SYMBOL,LOT_UNITS,CUSTOM_SYMBOL,EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SERIES,SYMBOL_NAME
BSE,D,1142032,OPTIDX,30 Jul 2026,SENSEX-30Jul2026-75600-PE,20,SENSEX 30 JUL 75600 PE,07/30/2026 14:00,75600.00000,PE,5,M,OPTIDX,,BSXOPT
NSE,D,44532,OPTSTK,25 Aug 2026,GLENMARK-Aug2026-3280-CE,375,GLENMARK 25 AUG 3280 CE,08/25/2026 14:00,3280.00000,CE,5,M,OPTSTK,,
BSE,D,1148103,OPTIDX,30 Jul 2026,BANKEX-30Jul2026-61900-PE,30,BANKEX 30 JUL 61900 PE,07/30/2026 14:00,61900.00000,PE,5,M,OPTIDX,,BKXOPT
NSE,D,99605,OPTSTK,28 Jul 2026,HDFCBANK-Jul2026-855-CE,650,HDFCBANK 28 JUL 855 CE,07/28/2026 14:00,855.00000,CE,5,M,OPTSTK,,
NSE,D,44196,OPTSTK,28 Jul 2026,UNOMINDA-Jul2026-780-CE,550,UNOMINDA 28 JUL 780 CE,07/28/2026 14:00,780.00000,CE,5,M,OPTSTK,,
NSE,D,116600,OPTSTK,25 Aug 2026,IOC-Aug2026-105-CE,4875,IOC 25 AUG 105 CE,08/25/2026 14:00,105.00000,CE,1,M,OPTSTK,,
NSE,D,94554,OPTSTK,25 Aug 2026,GMRAIRPORT-Aug2026-108-CE,6975,GMRAIRPORT 25 AUG 108 CE,08/25/2026 14:00,108.00000,CE,1,M,OPTSTK,,
NSE,D,62481,OPTSTK,28 Jul 2026,MANKIND-Jul2026-3100-CE,250,MANKIND 28 JUL 3100 CE,07/28/2026 14:00,3100.00000,CE,5,M,OPTSTK,,
NSE,D,70538,OPTIDX,29 Sep 2026,BANKNIFTY-Sep2026-71500-PE,30,BANKNIFTY 29 SEP 71500 PE,09/29/2026 14:00,71500.00000,PE,5,M,OPTIDX,,
NSE,D,131194,OPTSTK,28 Jul 2026,OFSS-Jul2026-11500-PE,100,OFSS 28 JUL 11500 PE,07/28/2026 14:00,11500.00000,PE,5,M,OPTSTK,,
NSE,D,139577,OPTSTK,25 Aug 2026,POLICYBZR-Aug2026-2360-CE,350,POLICYBZR 25 AUG 2360 CE,08/25/2026 14:00,2360.00000,CE,5,M,OPTSTK,,
NSE,D,100490,OPTSTK,25 Aug 2026,HDFCLIFE-Aug2026-320-PE,1100,HDFCLIFE 25 AUG 320 PE,08/25/2026 14:00,320.00000,PE,5,M,OPTSTK,,
NSE,D,153477,OPTSTK,29 Sep 2026,TATAPOWER-Sep2026-520-PE,1450,TATAPOWER 29 SEP 520 PE,09/29/2026 14:00,520.00000,PE,5,M,OPTSTK,,
NSE,D,55016,OPTSTK,28 Jul 2026,GMRAIRPORT-Jul2026-146-CE,6975,GMRAIRPORT 28 JUL 146 CE,07/28/2026 14:00,146.00000,CE,1,M,OPTSTK,,
NSE,D,68224,OPTSTK,28 Jul 2026,ADANIPORTS-Jul2026-2200-PE,475,ADANIPORTS 28 JUL 2200 PE,07/28/2026 14:00,2200.00000,PE,5,M,OPTSTK,,
NSE,D,62513,OPTSTK,28 Jul 2026,NYKAA-Jul2026-410-CE,3125,NYKAA 28 JUL 410 CE,07/28/2026 14:00,410.00000,CE,5,M,OPTSTK,,
NSE,D,43423,OPTSTK,25 Aug 2026,TIINDIA-Aug2026-1850-CE,200,TIINDIA 25 AUG 1850 CE,08/25/2026 14:00,1850.00000,CE,5,M,OPTSTK,,
NSE,D,62044,OPTIDX,25 Aug 2026,NIFTY-Aug2026-26050-PE,65,NIFTY 25 AUG 26050 PE,08/25/2026 14:00,26050.00000,PE,5,M,OPTIDX,,
NSE,D,81073,OPTSTK,28 Jul 2026,ADANIPORTS-Jul2026-1080-PE,475,ADANIPORTS 28 JUL 1080 PE,07/28/2026 14:00,1080.00000,PE,5,M,OPTSTK,,
NSE,D,69650,OPTIDX,29 Sep 2026,BANKNIFTY-Sep2026-51200-CE,30,BANKNIFTY 29 SEP 51200 CE,09/29/2026 14:00,51200.00000,CE,5,M,OPTIDX,,
BSE,D,856683,OPTIDX,27 Aug 2026,BANKEX-27Aug2026-72800-CE,30,BANKEX 27 AUG 72800 CE,08/27/2026 14:00,72800.00000,CE,5,M,OPTIDX,,BKXOPT
NSE,D,104446,OPTSTK,28 Jul 2026,ICICIPRULI-Jul2026-495-PE,925,ICICIPRULI 28 JUL 495 PE,07/28/2026 14:00,495.00000,PE,5,M,OPTSTK,,
